tag,category,implications
boa_(snake),5,snake
boat,100,watercraft
bob_(animal_crossing),4,animal_crossing
bob_cut,103,straight_hair
bobcat,5,lynx
bodily_fluids,104,
bodily_noises,110,sound_effects
body_blush,101,blush
body_hair,103,
body_horror,108,
body_in_mouth,108,
body_outline,109,
body_size_growth,108,size_transformation
body_worship,105,
body_writing,111,
bodyguard_position,101,from_behind_position standing_sex
bodypaint,100,
bodysuit,100,skinsuit
bojack_horseman_(character),4,
bokoblin,5,blin_(tloz)
bolt_(bolt),4,
bomb,100,explosives
bonbon_(mlp),4,friendship_is_magic
bondage,105,bdsm bound
bondage_furniture,105,bondage_gear
bondage_gear,105,
bondage_gloves,105,bondage_gear handwear
bone,100,
bone_frill,103,frill_(anatomy)
bonfie_(cryptiacurves),4,
bong,100,drugs
bonnie_(fnaf),4,five_nights_at_freddy's
bonnie_hopps,4,zootopia
boo_(mario),5,ghost
boob_hat,100,breasts
book,100,
bookshelf,100,furniture
boon_digges,4,
boots,100,shoes
boots_only,100,boots footwear_only
border,110,
border_collie,5,collie
boron_brioche,4,
borzoi,5,sighthound
boston_terrier,5,small_molosser terrier
both_pregnant,103,multiple_pregnancies
both_sexes_in_same_situation,108,
bottle,100,container
bottlenose_dolphin,5,oceanic_dolphin
bottom_heavy,103,
bottomless,108,clothed
bottomless_anthro,101,anthro bottomless
bottomless_female,106,bottomless female
bottomless_intersex,106,bottomless intersex
bottomless_male,106,bottomless male
bottomwear,100,clothing
bottomwear_around_one_leg,100,bottomwear_down clothing_around_one_leg
bottomwear_aside,100,bottomwear clothing_aside
bottomwear_down,100,bottomwear
bottomwear_pull,100,bottomwear clothing_pull
bouncing_balls,103,balls
bouncing_breasts,103,breasts
bouncing_butt,103,butt
bound,108,
bound_together,108,bound
bouquet,100,
bovid,5,mammal
bovid_horn,103,horn
bovid_humanoid,5,bovid mammal_humanoid
bovid_taur,5,bovid mammal_taur
bovine,5,bovid
bovine_humanoid,5,bovid_humanoid bovine
bow_(feature),100,
bow_(weapon),100,ranged_weapon
bow_accessory,100,accessory bow_(feature)
bow_experiment_(resident_evil),5,
bow_in_front,100,bow_(feature)
bow_panties,100,panties
bow_ribbon,100,bow_(feature)
bow_tie,100,bow_(feature)
bowl,100,container
bowser,4,
bowser_jr.,4,
bowsette_meme,3,meme super_crown
box,100,container
boxer_briefs,100,underwear
boxers_(clothing),100,underwear
boxing,108,sport
boxing_gloves,100,handwear
bra,100,underwear
bracelet,100,jewelry
bracers,100,armor
braces,100,
brachiosaurid,5,sauropod
braeburn_(mlp),4,friendship_is_magic
braided_hair,103,hair
braided_pigtails,103,braided_hair pigtails
braided_ponytail,103,braided_hair ponytail
brain,103,organs
brainwashing,105,
braixen,5,pokemon_(species)
branch,100,
brandy_harrington,4,
bread,100,food
breast_blush,103,body_blush
breast_expansion,103,breasts expansion
breast_fondling,103,breast_play fondling hand_on_breast
breast_grab,103,grabbing hand_on_breast
breast_growth,103,breasts growth
breast_implants,103,
breast_lick,103,breast_play licking
breast_milking,103,lactating
breast_play,103,breasts
breast_rest,103,breasts
breast_size_difference,103,breasts
breast_smother,103,breasts smothering
breast_squeeze,103,breasts squeezing
breast_squish,103,breasts squish
breast_suck,103,breast_play sucking
breastfeeding,108,
breastfeeding_during_sex,101,breastfeeding sex
breastplate,100,armor
breasts,103,
breasts_and_teats,103,breasts teats
breasts_apart,103,breasts
breasts_frottage,103,breast_squish
breasts_on_glass,103,breasts on_glass
breath,103,
breath_play,105,asphyxiation
